Original Name,Column_Prefix,Column_Suffix,New_Name_Formula,New_Name
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Magazines,app_type,magezine,app_type_magezine,app_type_magezine
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Diagnostic/utilities,app_type,utilities,app_type_utilities,app_type_utilities
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-QR Reader,app_type,qr_scanner,app_type_qr_scanner,app_type_qr_scanner
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Travel,app_type,travel,app_type_travel,app_type_travel
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Transportation,app_type,transportation,app_type_transportation,app_type_transportation
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Location,app_type,location,app_type_location,app_type_location
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Language,app_type,language,app_type_language,app_type_language
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Movie,app_type,movie,app_type_movie,app_type_movie
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Business,app_type,business,app_type_business,app_type_business
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Games,app_type,games,app_type_games,app_type_games
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Productivity,app_type,productivity,app_type_productivity,app_type_productivity
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Sports,app_type,sports,app_type_sports,app_type_sports
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Weather,app_type,weather,app_type_weather,app_type_weather
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Browser,app_type,browser,app_type_browser,app_type_browser
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-VOIP,app_type,voip,app_type_voip,app_type_voip
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Dating,app_type,dating,app_type_dating,app_type_dating
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Messaging,app_type,messaging,app_type_messaging,app_type_messaging
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Mobile payment,app_type,payment,app_type_payment,app_type_payment
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Education,app_type,education,app_type_education,app_type_education
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Tickets,app_type,tickets,app_type_tickets,app_type_tickets
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Reservations,app_type,reservations,app_type_reservations,app_type_reservations
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Special interest/Hobby apps,app_type,special_interest,app_type_special_interest,app_type_special_interest
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-I do not use any of the above types of apps on a frequent (everyday/weekly) basis.,app_type,none,app_type_none,app_type_none
Q22 - What types of apps do you use frequently (everyday/weekly) on your smartphone?-Don't Know,app_type,unknown,app_type_unknown,app_type_unknown
Q26 - Which of the following subscriptions does your household purchase?-Pay TV (traditional cable and/or satellite bundle),subscriber,cable,subscriber_cable,subscriber_cable
Q26 - Which of the following subscriptions does your household purchase?-Home internet,subscriber,internet,subscriber_internet,subscriber_internet
Q26 - Which of the following subscriptions does your household purchase?-Landline telephone,subscriber,landline,subscriber_landline,subscriber_landline
Q26 - Which of the following subscriptions does your household purchase?-Mobile voice (smartphone or basic mobile phone calling plan),subscriber,voice,subscriber_voice,subscriber_voice
Q26 - Which of the following subscriptions does your household purchase?-Mobile data plan,subscriber,data,subscriber_data,subscriber_data
Q26 - Which of the following subscriptions does your household purchase?-Streaming video service,subscriber,streaming_video,subscriber_streaming_video,subscriber_streaming_video
Q26 - Which of the following subscriptions does your household purchase?-Streaming music service,subscriber,streaming_music,subscriber_streaming_music,subscriber_streaming_music
Q26 - Which of the following subscriptions does your household purchase?-Gaming,subscriber,gaming,subscriber_gaming,subscriber_gaming
Q26 - Which of the following subscriptions does your household purchase?-News/Newspaper (print or digital),subscriber,newspaper,subscriber_newspaper,subscriber_newspaper
Q26 - Which of the following subscriptions does your household purchase?-Magazine (print or digital),subscriber,magezine,subscriber_magezine,subscriber_magezine
Q26 - Which of the following subscriptions does your household purchase?-None of the above,subscriber,none,subscriber_none,subscriber_none
Q26 - Which of the following subscriptions does your household purchase?-Don't Know,subscriber,unknown,subscriber_unknown,subscriber_unknown
"Q36r1 - Pay TV (traditional cable and/or satellite bundle) - Of the services you indicated your household purchases, which [totalcount] do you value the most?Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking",rank_services,cable,rank_services_cable,rank_services_cable
"Q36r2 - Home internet - Of the services you indicated your household purchases, which [totalcount] do you value the most?Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in the order you wish to r",rank_services,internet,rank_services_internet,rank_services_internet
"Q36r3 - Landline telephone - Of the services you indicated your household purchases, which [totalcount] do you value the most?Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in the order you wish",rank_services,landline,rank_services_landline,rank_services_landline
"Q36r4 - Mobile voice - Of the services you indicated your household purchases, which [totalcount] do you value the most?Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in the order you wish to ra",rank_services,voice,rank_services_voice,rank_services_voice
"Q36r5 - Mobile data plan - Of the services you indicated your household purchases, which [totalcount] do you value the most?Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in the order you wish t",rank_services,data,rank_services_data,rank_services_data
"Q36r6 - Streaming video service - Of the services you indicated your household purchases, which [totalcount] do you value the most?Please rank the top [totalcount], with ""1"" being the most valued. Make",rank_services,streaming_video,rank_services_streaming_video,rank_services_streaming_video
"Q36r7 - Streaming music service - Of the services you indicated your household purchases, which [totalcount] do you value the most?Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item",rank_services,streaming_music,rank_services_streaming_music,rank_services_streaming_music
"Q36r8 - Gaming - Of the services you indicated your household purchases, which [totalcount] do you value the most?Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicki",rank_services,gaming,rank_services_gaming,rank_services_gaming
"Q36r9 - News/Newspaper (print or digital) - Of the services you indicated your household purchases, which [totalcount] do you value the most?Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in the",rank_services,newspaper,rank_services_newspaper,rank_services_newspaper
"Q36r10 - Magazine (print or digital) - Of the services you indicated your household purchases, which [totalcount] do you value the most?Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in the orde",rank_services,magezine,rank_services_magezine,rank_services_magezine
"Q29 - You said that you subscribe to home Internet access, how much more would you be willing to pay to receive double your download speed?",amt_willing_to_double_internet_speed,,amt_willing_to_double_internet_speed,amt_willing_to_double_internet_speed
"Q37r1 - Attending live performances (sporting events, concerts, or stage (musical, dramatic, or other)) - For the following types of entertainment activities, please rank your top three, with ""1"" being the most preferred.Please rank the top three, with â€œ",rank_entertainment,live_performance,rank_entertainment_live_performance,rank_entertainment_live_performance
"Q37r2 - Going to the movies - For the following types of entertainment activities, please rank your top three, with ""1"" being the most preferred.Please rank the top three, with â€œ1â€ being the most preferred. Make your selections by clicking each item in",rank_entertainment,movies,rank_entertainment_movies,rank_entertainment_movies
"Q37r3 - Watching television (video content on any device) - For the following types of entertainment activities, please rank your top three, with ""1"" being the most preferred.Please rank the top three, with â€œ1â€ being the most preferred. Make your selec",rank_entertainment,tv,rank_entertainment_tv,rank_entertainment_tv
"Q37r4 - Listening to music (using any device) - For the following types of entertainment activities, please rank your top three, with ""1"" being the most preferred.Please rank the top three, with â€œ1â€ being the most preferred. Make your selections by cli",rank_entertainment,music,rank_entertainment_music,rank_entertainment_music
"Q37r5 - Reading books (either physical books or via an e-book reader and/or online) - For the following types of entertainment activities, please rank your top three, with ""1"" being the most preferred.Please rank the top three, with â€œ1â€ being the most",rank_entertainment,books,rank_entertainment_books,rank_entertainment_books
"Q37r6 - Reading magazines (either printed or online) - For the following types of entertainment activities, please rank your top three, with ""1"" being the most preferred.Please rank the top three, with â€œ1â€ being the most preferred. Make your selections",rank_entertainment,magezines,rank_entertainment_magezines,rank_entertainment_magezines
"Q37r7 - Reading newspapers (either printed or online) - For the following types of entertainment activities, please rank your top three, with ""1"" being the most preferred.Please rank the top three, with â€œ1â€ being the most preferred. Make your selection",rank_entertainment,news,rank_entertainment_news,rank_entertainment_news
"Q37r8 - Listening to the radio (any format and/or device) - For the following types of entertainment activities, please rank your top three, with ""1"" being the most preferred.Please rank the top three, with â€œ1â€ being the most preferred. Make your selec",rank_entertainment,radio,rank_entertainment_radio,rank_entertainment_radio
"Q37r9 - Playing video games (handhelds, PC, console, mobile/cellular/smartphone, online) - For the following types of entertainment activities, please rank your top three, with ""1"" being the most preferred.Please rank the top three, with â€œ1â€ being the",rank_entertainment,video_games,rank_entertainment_video_games,rank_entertainment_video_games
"Q37r10 - Using the Internet for social or personal interests - For the following types of entertainment activities, please rank your top three, with ""1"" being the most preferred.Please rank the top three, with â€œ1â€ being the most preferred. Make your se",rank_entertainment,internet,rank_entertainment_internet,rank_entertainment_internet
"QNEW19r1 - Rent a physical DVD/Blu-ray - Thinking about how you watch movies, how frequently do you do each of the following?",watch_movies,rent_physical,watch_movies_rent_physical,watch_movies_rent_physical
"QNEW19r2 - Purchase a physical DVD/Blu-ray - Thinking about how you watch movies, how frequently do you do each of the following?",watch_movies,purchase_physical,watch_movies_purchase_physical,watch_movies_purchase_physical
"QNEW19r3 - Purchase digital video entertainment to download onto your device via online service - Thinking about how you watch movies, how frequently do you do each of the following?",watch_movies,purchase_digital,watch_movies_purchase_digital,watch_movies_purchase_digital
